title,season,schedule,placeName,placeLink,duration,classification/image,image,placeTitle,address,price,placeSeats,Valor do show (80%)
De Volta à Quinta Série - Standup Comedy,até 25 de Maio,"Quintas (20/04 e 25/05), às 21h35","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123645.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 20,00",100,"R$ 1.600,00"
Delio Macnamara em Guarulhos,Dia 10 de Junho (sábado),"Sábado, às 20h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Um Show Comedy Guarulhos",https://www.sampaingressos.com.br/local/Um%20Show%20Comedy%20Guarulhos__2927,70 minutos.,https://www.sampaingressos.com.br/templates/images/18anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123226.jpg,Um Show Comedy Guarulhos,"Rua Anice 242, Guarulhos - Santa Mena","R$ 30,00",250,"R$ 6.000,00"
Falando Pelas Costas! Com Júnior Soares,Dia 20 de Maio (sábado),"Sábado, às 20h30","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Beverly Comedy",https://www.sampaingressos.com.br/local/Beverly%20Comedy__2150,"<img width=""18"" src=""/templates/images/16anos.svg"" class=""img_classificacao"">16 anos",https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123420.jpg,Beverly Comedy,"Av. Jurucê, 1001 - Moema","R$ 20,00",140,"R$ 2.240,00"
Incrivelmente - Hipnose com Comédia,Dia 28 de Abril (sexta),"Sexta, às 20h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Caracas Comedy Club Carapicuíba",https://www.sampaingressos.com.br/local/Caracas%20Comedy%20Club%20Carapicu%C3%ADba__2932,70 minutos.,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123660.jpg,Caracas Comedy Club Carapicuíba (150 lugares),"Estr. Ernestina Vieira, 149 - Plaza Shopping Carapicuíba - Vila Dirce","R$ 15,00",150,"R$ 1.800,00"
Umbanda Show,até 30 de Abril,"Domingos, às 19h30","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Acústico Comedy",https://www.sampaingressos.com.br/local/Ac%C3%BAstico%20Comedy__2749,60 Minutos,https://www.sampaingressos.com.br/templates/images/18anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123460.jpg,Acústico Comedy (50 lugares),"Rua da Consolação, 2518 - Consolação","R$ 25,00",50,"R$ 1.000,00"
Renan da Resenha - Eeeixe!,Dia 26 de Maio (sexta),às 20h30.,"<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Comedy Sampa Club",https://www.sampaingressos.com.br/local/Comedy%20Sampa%20Club__2555,90 minutos,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123508.jpg,Comedy Sampa Club,"Rua Domingos de Morais, 348 - Vila Mariana","R$ 40,00",500,"R$ 16.000,00"
Abner Henrique,Dia 28 de Abril (sexta),"Sexta, às 22h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Acústico Comedy",https://www.sampaingressos.com.br/local/Ac%C3%BAstico%20Comedy__2749,90 minutos,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123461.jpg,Acústico Comedy (50 lugares),"Rua da Consolação, 2518 - Consolação","R$ 20,00",50,"R$ 800,00"
Pura Neurose,até 24 de Maio,"Quartas, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Acústico Comedy",https://www.sampaingressos.com.br/local/Ac%C3%BAstico%20Comedy__2749,90 minutos,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123578.jpg,Acústico Comedy (50 lugares),"Rua da Consolação, 2518 - Consolação","R$ 20,00",50,"R$ 800,00"
A última geração Raiz,Dia 29 de Abril (sábado),"Sábado, às 20h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Caracas Comedy Club Carapicuíba",https://www.sampaingressos.com.br/local/Caracas%20Comedy%20Club%20Carapicu%C3%ADba__2932,70 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123584.jpg,Caracas Comedy Club Carapicuíba (150 lugares),"Estr. Ernestina Vieira, 149 - Plaza Shopping Carapicuíba - Vila Dirce","R$ 12,00",150,"R$ 1.440,00"
Entre a Cruz e a Ressaca - Luciano Guima,Dia 29 de Abril (sábado),"Sábado, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123631.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 20,00",100,"R$ 1.600,00"
