title,season,schedule,placeLink,price,duration,classification.image,address,image,placeTitle,placeSeats
Comédia ao Vivo,até 27 de Maio,"Sextas e Sábados, às 23h59",https://www.sampaingressos.com.br/local/Teatro%20Renaissance__47,"R$ 49,00",80 minutos.,https://www.sampaingressos.com.br/templates/images/16anos.svg,"Alameda Santos, 2233 - Cerqueira César",https://sampaingressos.com.br/fotosEspetaculos/foto_82977.jpg,Teatro Renaissance,440
Bruna Louise,até 26 de Maio,"Sextas, às 22h30",https://www.sampaingressos.com.br/local/Teatro%20Opus%20Frei%20Caneca__60,"R$ 59,00",70 minutos.,https://www.sampaingressos.com.br/templates/images/16anos.svg,"Rua Frei Caneca, 569 - Shopping Frei Caneca, 7° andar - Bela Vista",https://sampaingressos.com.br/fotosEspetaculos/foto_117711.jpg,Teatro Opus Frei Caneca,
Nando Viana - Como faz para ficar aqui?,até 26 de Maio,"Sextas, às 22h",https://www.sampaingressos.com.br/local/Teatro%20Morumbi%20Shopping__1892,"R$ 35,00",70 minutos.,https://www.sampaingressos.com.br/templates/images/14anos.svg,"Av. Roque Petroni Júnior, 1089 - Piso G1 do Shopping - Morumbi",https://sampaingressos.com.br/fotosEspetaculos/foto_122755.jpg,Teatro Morumbi Shopping,250
Diogo Portugal Stand-up Comedy,até 6 de Maio,"Sábados, às 21h",https://www.sampaingressos.com.br/local/Comedy%20Sampa%20Club__2555,"R$ 31,90",80 minutos.,https://www.sampaingressos.com.br/templates/images/16anos.svg,"Rua Domingos de Morais, 348 - Vila Mariana",https://sampaingressos.com.br/fotosEspetaculos/foto_115070.jpg,Comedy Sampa Club,
Fábio Rabin - Muita Treta,até 27 de Maio,"Sábados, às 22h30",https://www.sampaingressos.com.br/local/Teatro%20Opus%20Frei%20Caneca__60,"R$ 59,00",90 minutos.,https://www.sampaingressos.com.br/templates/images/16anos.svg,"Rua Frei Caneca, 569 - Shopping Frei Caneca, 7° andar - Bela Vista",https://sampaingressos.com.br/fotosEspetaculos/foto_114720.jpg,Teatro Opus Frei Caneca,
